ProjID,market,leaseup_months,stabilized,Name,Submarket,Quantity,AreaPerUnit,occ_velocity,concession_burn_rate,rent_gap_vs_submarket,grade_score,delivery_era,delivery_season,log_quantity,season_enc,era_enc,market_enc
70636,"Austin-Round Rock, TX",,False,Davies Ranch,East Austin,360,1000,0.016666666666666666,-3.20052792213199e-05,36.0,,COVID,Spring,5.886104031450156,0,3,1
35677,"Austin-Round Rock, TX",14.0,True,District at SoCo,South Austin,215,915,0.05733333333333334,0.0013617231988115855,840.0,2.0,Recovery,Summer,5.3706380281276624,1,1,1
66089,"Austin-Round Rock, TX",12.0,True,E6,East Austin,208,820,0.037333333333333336,-0.0034187418675391754,727.0,2.0,Expansion,Winter,5.337538079701318,3,2,1
72166,"Austin-Round Rock, TX",,False,East Vue Ranch,Riverside,342,815,0.021333333333333333,0.0022835488964392595,311.0,,Expansion,Fall,5.834810737062605,2,2,1
56313,"Austin-Round Rock, TX",29.0,True,Eastside Station,East Austin,330,775,-0.001,-0.0005323650862964625,795.0,1.0,Expansion,Winter,5.799092654460526,3,2,1
44001,"Austin-Round Rock, TX",8.0,True,Echo,Near North Austin,274,880,0.05599999999999997,-0.015634395670475,426.0,1.0,Expansion,Winter,5.6131281063880705,3,2,1
86303,"Austin-Round Rock, TX",16.0,True,Edgewater,Pflugerville/Wells Branch,326,785,0.134,-0.004840225563909775,78.5,1.0,Expansion,Summer,5.786897381366708,1,2,1
82302,"Austin-Round Rock, TX",12.0,True,Edison,Riverside,354,956,0.064,0.00609756097560975,668.5,2.0,Expansion,Winter,5.869296913133774,3,2,1
42296,"Austin-Round Rock, TX",11.0,True,Elan East,East Austin,251,728,0.050666666666666665,-0.00703125,310.0,1.0,Expansion,Spring,5.5254529391317835,0,2,1
59175,"Austin-Round Rock, TX",16.0,True,Elan Parkside I,North Central Austin,255,878,0.041666666666666664,-0.0006463879846683564,583.0,1.0,Expansion,Fall,5.541263545158426,2,2,1
37272,"Austin-Round Rock, TX",12.0,True,Eleven,East Austin,257,797,0.059666666666666666,0.0,867.0,1.0,Recovery,Fall,5.54907608489522,2,1,1
86205,"Austin-Round Rock, TX",17.0,True,Enclave Falcon Pointe,Pflugerville/Wells Branch,324,950,0.065,-0.006226394536666034,45.0,3.0,Expansion,Winter,5.780743515792329,3,2,1
70684,"Austin-Round Rock, TX",12.0,True,Estancia Villas,Far South Austin,312,837,0.06066666666666667,0.0,26.0,5.0,Expansion,Spring,5.7430031878094825,0,2,1
38849,"Austin-Round Rock, TX",36.0,True,Estates at Bee Cave,Southwest Austin,316,973,0.028333333333333335,0.0021481481481481503,133.0,5.0,Expansion,Summer,5.755742213586912,1,2,1
10254214,"Austin-Round Rock, TX",,False,Estraya Georgetown,Round Rock/Georgetown,270,925,0.037333333333333336,1.043478748050016e-05,154.5,,Expansion,Summer,5.598421958998375,1,2,1
43844,"Austin-Round Rock, TX",14.0,True,Ethos Apartments,Southeast Austin,370,897,0.0,0.0023080660835762858,355.0,1.0,Expansion,Winter,5.91350300563827,3,2,1
70690,"Austin-Round Rock, TX",12.0,True,Farmhouse,Southeast Austin,235,855,0.11766666666666668,0.002733380002791417,70.0,1.0,Expansion,Summer,5.459585514144159,1,2,1
87387,"Austin-Round Rock, TX",,False,FiveTwo at Highland,North Central Austin,390,888,0.028999999999999998,0.006828781459973892,724.0,,COVID,Spring,5.966146739123692,0,3,1
79461,"Austin-Round Rock, TX",,False,Flatiron Domain,North Central Austin,364,826,0.024000000000000004,-0.0007477567298105724,973.0,1.0,Expansion,Spring,5.8971538676367405,0,2,1
71391,"Austin-Round Rock, TX",9.0,True,Flora,Near North Austin,194,755,0.07366666666666667,0.0005223490784269773,387.5,2.0,Expansion,Winter,5.267858159063328,3,2,1
34164,"Austin-Round Rock, TX",14.0,True,Fox Hill,Southwest Austin,288,1066,-0.054,-0.0006665995564229438,77.0,7.0,Recovery,Spring,5.662960480135946,0,1,1
37791,"Austin-Round Rock, TX",10.0,True,Gables Park Tower,Downtown/University,223,1006,0.05233333333333334,0.00162162162162162,1022.0,1.0,Expansion,Winter,5.407171771460119,3,2,1
35651,"Austin-Round Rock, TX",,False,Gables Republic Square,Downtown/University,221,967,0.04833333333333333,0.00125511956665345,1197.5,,Expansion,Fall,5.3981627015177525,2,2,1
59808,"Austin-Round Rock, TX",4.0,True,Gallery at Domain,North Central Austin,316,785,0.10866666666666665,-0.02081922816519975,477.0,1.0,Expansion,Summer,5.755742213586912,1,2,1
91009,"Austin-Round Rock, TX",11.0,True,Gallery at Domain Edge and Parkside,North Central Austin,587,778,0.059666666666666666,0.0,692.0,1.0,Expansion,Winter,6.375024819828097,3,2,1
