stabilized,delivery_month,stabilization_month,leaseup_months,ProjID,Name,Submarket,Quantity,AreaPerUnit,YearBuilt,market
True,2019-02-01,2019-11-01,9.0,71391,Flora,Near North Austin,194,755,2019,"Austin-Round Rock, TX"
True,2010-03-01,2011-05-01,14.0,34164,Fox Hill,Southwest Austin,288,1066,2010,"Austin-Round Rock, TX"
True,2014-01-01,2014-11-01,10.0,37791,Gables Park Tower,Downtown/University,223,1006,2014,"Austin-Round Rock, TX"
False,2019-09-01,,,35651,Gables Republic Square,Downtown/University,221,967,2020,"Austin-Round Rock, TX"
True,2015-08-01,2015-12-01,4.0,59808,Gallery at Domain,North Central Austin,316,785,2015,"Austin-Round Rock, TX"
True,2018-02-01,2019-01-01,11.0,91009,Gallery at Domain Edge and Parkside,North Central Austin,587,778,2018,"Austin-Round Rock, TX"
True,2013-10-01,2014-10-01,12.0,36483,Gibson Flats,South Austin,202,778,2014,"Austin-Round Rock, TX"
True,2017-04-01,2018-05-01,13.0,66159,Griffis at Riata,Northwest Austin,307,931,2017,"Austin-Round Rock, TX"
True,2008-12-01,2009-05-01,5.0,19841,Griffis Southpark,Southeast Austin,328,907,2008,"Austin-Round Rock, TX"
True,2017-08-01,2018-11-01,15.0,86194,Groves South Lamar,South Austin,307,776,2018,"Austin-Round Rock, TX"
False,2020-08-01,,,10262616,Hawthorne at Blanco Riverwalk,San Marcos,252,982,2020,"Austin-Round Rock, TX"
True,2016-07-01,2017-06-01,11.0,71730,Hays Junction I,San Marcos,207,772,2017,"Austin-Round Rock, TX"
True,2017-10-01,2018-07-01,9.0,86196,Hays Junction II,San Marcos,102,828,2018,"Austin-Round Rock, TX"
False,2019-10-01,,,90323,Hermosa Village,Cedar Park,238,1010,2020,"Austin-Round Rock, TX"
True,2015-12-01,2016-07-01,7.0,52258,HighLine,Northwest Austin,256,890,2016,"Austin-Round Rock, TX"
False,2020-03-01,,,70346,Hollybrook Ranch,Round Rock/Georgetown,336,1069,2021,"Austin-Round Rock, TX"
True,2019-05-01,2019-10-01,5.0,10255580,Hunters Crossing Apartments,Southeast Austin,182,833,2019,"Austin-Round Rock, TX"
True,2013-06-01,2013-10-01,4.0,37329,IMT at The Domain,North Central Austin,228,891,2013,"Austin-Round Rock, TX"
True,2013-10-01,2014-08-01,10.0,44462,IMT Southpark North,Far South Austin,286,857,2014,"Austin-Round Rock, TX"
True,2016-01-01,2017-06-01,17.0,44464,IMT Southpark South,Far South Austin,283,859,2016,"Austin-Round Rock, TX"
True,2018-02-01,2018-11-01,9.0,71149,Indie,East Austin,139,410,2018,"Austin-Round Rock, TX"
True,2013-04-01,2014-03-01,11.0,38377,Indigo,Cedar Park,325,908,2013,"Austin-Round Rock, TX"
True,2015-06-01,2016-10-01,16.0,44496,James on South First,Far South Austin,250,905,2016,"Austin-Round Rock, TX"
True,2014-02-01,2015-01-01,11.0,44456,Kenzie at the Domain,North Central Austin,279,851,2014,"Austin-Round Rock, TX"
True,2010-03-01,2010-09-01,6.0,41412,La Frontera Square,Round Rock/Georgetown,412,846,2009,"Austin-Round Rock, TX"
True,2012-11-01,2013-08-01,9.0,36480,Ladera,Far South Austin,311,876,2013,"Austin-Round Rock, TX"
True,2017-07-01,2018-09-01,14.0,71736,Lakeline Crossing I,Cedar Park,301,863,2017,"Austin-Round Rock, TX"
False,2020-07-01,,,71738,Lakeline Crossing II,Cedar Park,203,836,2020,"Austin-Round Rock, TX"
True,2013-09-01,2014-08-01,11.0,38376,Lakeline East,Cedar Park,348,860,2014,"Austin-Round Rock, TX"
True,2014-10-01,2017-01-01,27.0,36484,Lamar Union,South Austin,442,817,2016,"Austin-Round Rock, TX"
True,2015-02-01,2015-10-01,8.0,53330,Landmark Conservancy,Southwest Austin,240,832,2015,"Austin-Round Rock, TX"
True,2017-09-01,2019-06-01,21.0,86185,Lantower Ambrosio,Pflugerville/Wells Branch,370,753,2017,"Austin-Round Rock, TX"
True,2016-05-01,2017-09-01,16.0,57279,Lantower Tech Ridge,Pflugerville/Wells Branch,375,726,2017,"Austin-Round Rock, TX"
True,2009-03-01,2010-10-01,19.0,20040,Las Brisas Luxury Apartment Homes,Round Rock/Georgetown,414,990,2009,"Austin-Round Rock, TX"
True,2018-02-01,2019-12-01,22.0,64775,Latitude at Presidio,Cedar Park,337,1018,2018,"Austin-Round Rock, TX"
False,2020-08-01,,,10258133,Leander Junction,Cedar Park,288,793,2020,"Austin-Round Rock, TX"
True,2010-02-01,2011-03-01,13.0,33925,Legends Lakeline,Cedar Park,222,965,2010,"Austin-Round Rock, TX"
True,2017-09-01,2018-09-01,12.0,65626,Lenox Boardwalk,Riverside,338,816,2018,"Austin-Round Rock, TX"
False,2019-11-01,,,82401,Lenox Ridge,Northwest Austin,350,904,2020,"Austin-Round Rock, TX"
False,2020-04-01,,,91541,Lenox SOCO,Far South Austin,300,832,2020,"Austin-Round Rock, TX"
True,2017-10-01,2018-10-01,12.0,76201,Lenox Springs I,Far South Austin,400,825,2018,"Austin-Round Rock, TX"
False,2020-04-01,,,10261515,Linea Stillwater,Round Rock/Georgetown,230,1534,2021,"Austin-Round Rock, TX"
True,2014-07-01,2015-07-01,12.0,53642,Lone Oak,Round Rock/Georgetown,304,986,2015,"Austin-Round Rock, TX"
True,2012-08-01,2013-06-01,10.0,36477,Lotus Village,North Central Austin,222,922,2012,"Austin-Round Rock, TX"
False,2020-08-01,,,10263165,Mansions at Onion Creek,Southeast Austin,434,942,2021,"Austin-Round Rock, TX"
False,2020-04-01,,,10258176,Mariposa Flats,Riverside,122,566,2020,"Austin-Round Rock, TX"
True,2016-07-01,2017-11-01,16.0,51760,Marq on Burnet,Near North Austin,343,747,2016,"Austin-Round Rock, TX"
True,2016-04-01,2017-03-01,11.0,58357,Marq Uptown,Downtown/University,265,877,2016,"Austin-Round Rock, TX"
True,2008-08-01,2009-09-01,13.0,19960,Marquis at Canyon Ridge,East Austin,264,880,2008,"Austin-Round Rock, TX"
True,2010-09-01,2011-05-01,8.0,58950,Marquis at Star Ranch,Round Rock/Georgetown,402,1026,2010,"Austin-Round Rock, TX"
True,2008-05-01,2009-04-01,11.0,19622,Marquis Lakeline Station,Cedar Park,344,1012,2008,"Austin-Round Rock, TX"
True,2013-12-01,2014-11-01,11.0,34862,Marquis on Lakeline,Cedar Park,352,783,2014,"Austin-Round Rock, TX"
True,2014-12-01,2015-07-01,7.0,53648,Marquis Soco,Far South Austin,140,903,2014,"Austin-Round Rock, TX"
True,2019-11-01,2020-09-01,10.0,10252087,McCarty Commons,San Marcos,249,983,2020,"Austin-Round Rock, TX"
True,2009-07-01,2010-10-01,15.0,26327,Midtown Commons at Crestview Station I,North Central Austin,316,798,2009,"Austin-Round Rock, TX"
True,2013-04-01,2014-08-01,16.0,35678,Midtown Commons at Crestview Station II,North Central Austin,246,769,2014,"Austin-Round Rock, TX"
True,2009-04-01,2010-08-01,16.0,19199,Mosaic at Mueller,East Austin,441,978,2009,"Austin-Round Rock, TX"
