ProjID,market,leaseup_months,stabilized,Name,Submarket,Quantity,AreaPerUnit,occ_velocity,concession_burn_rate,rent_gap_vs_submarket,grade_score,delivery_era,delivery_season,log_quantity,season_enc,era_enc,market_enc,cluster,tsne_x,tsne_y
43844,"Austin-Round Rock, TX",14.0,True,Ethos Apartments,Southeast Austin,370,897,0.0,0.0023080660835762858,355.0,1.0,Expansion,Winter,5.91350300563827,3,2,1,0,-14.696617,-2.3112373
70690,"Austin-Round Rock, TX",12.0,True,Farmhouse,Southeast Austin,235,855,0.11766666666666668,0.002733380002791417,70.0,1.0,Expansion,Summer,5.459585514144159,1,2,1,0,2.9205494,0.6089042
87387,"Austin-Round Rock, TX",,False,FiveTwo at Highland,North Central Austin,390,888,0.028999999999999998,0.006828781459973892,724.0,,COVID,Spring,5.966146739123692,0,3,1,0,2.4906259,-8.263521
79461,"Austin-Round Rock, TX",,False,Flatiron Domain,North Central Austin,364,826,0.024000000000000004,-0.0007477567298105724,973.0,1.0,Expansion,Spring,5.8971538676367405,0,2,1,1,10.382805,-6.468303
71391,"Austin-Round Rock, TX",9.0,True,Flora,Near North Austin,194,755,0.07366666666666667,0.0005223490784269773,387.5,2.0,Expansion,Winter,5.267858159063328,3,2,1,0,-10.376079,-1.8901714
34164,"Austin-Round Rock, TX",14.0,True,Fox Hill,Southwest Austin,288,1066,-0.054,-0.0006665995564229438,77.0,7.0,Recovery,Spring,5.662960480135946,0,1,1,2,1.7165684,13.229176
37791,"Austin-Round Rock, TX",10.0,True,Gables Park Tower,Downtown/University,223,1006,0.05233333333333334,0.00162162162162162,1022.0,1.0,Expansion,Winter,5.407171771460119,3,2,1,1,17.807852,-4.212817
35651,"Austin-Round Rock, TX",,False,Gables Republic Square,Downtown/University,221,967,0.04833333333333333,0.00125511956665345,1197.5,,Expansion,Fall,5.3981627015177525,2,2,1,1,16.929165,-3.6376667
59808,"Austin-Round Rock, TX",4.0,True,Gallery at Domain,North Central Austin,316,785,0.10866666666666665,-0.02081922816519975,477.0,1.0,Expansion,Summer,5.755742213586912,1,2,1,0,5.7003713,-1.4387175
91009,"Austin-Round Rock, TX",11.0,True,Gallery at Domain Edge and Parkside,North Central Austin,587,778,0.059666666666666666,0.0,692.0,1.0,Expansion,Winter,6.375024819828097,3,2,1,0,-13.443994,-6.659048
36483,"Austin-Round Rock, TX",12.0,True,Gibson Flats,South Austin,202,778,0.024333333333333332,0.0,643.0,1.0,Recovery,Fall,5.308267697401205,2,1,1,1,13.300106,-6.716254
66159,"Austin-Round Rock, TX",13.0,True,Griffis at Riata,Northwest Austin,307,931,0.09233333333333332,0.0,347.5,1.0,Expansion,Spring,5.726847747587197,0,2,1,0,6.651586,-4.039115
19841,"Austin-Round Rock, TX",5.0,True,Griffis Southpark,Southeast Austin,328,907,0.043666666666666666,6.736713389640103e-05,151.5,1.0,Pre-GFC,Winter,5.793013608384144,3,0,1,0,-8.350743,-11.798546
86194,"Austin-Round Rock, TX",15.0,True,Groves South Lamar,South Austin,307,776,0.043333333333333335,-0.005037202809761337,208.5,3.0,Expansion,Summer,5.726847747587197,1,2,1,0,-3.1221135,-1.736599
10262616,"Austin-Round Rock, TX",,False,Hawthorne at Blanco Riverwalk,San Marcos,252,982,-0.048,-0.0067008652216083014,167.0,,COVID,Summer,5.529429087511423,1,3,1,0,2.8045862,-12.085765
71730,"Austin-Round Rock, TX",11.0,True,Hays Junction I,San Marcos,207,772,0.11266666666666668,-0.0028790786948176546,90.0,4.0,Expansion,Summer,5.332718793265369,1,2,1,0,0.4928504,5.0303826
86196,"Austin-Round Rock, TX",9.0,True,Hays Junction II,San Marcos,102,828,0.013333333333333345,0.0012813967365984892,243.0,4.0,Expansion,Fall,4.624972813284271,2,2,1,2,-6.435621,7.8140507
90323,"Austin-Round Rock, TX",,False,Hermosa Village,Cedar Park,238,1010,0.04066666666666667,0.002499996844683327,126.0,,Expansion,Fall,5.472270673671475,2,2,1,0,-5.365387,3.6099894
52258,"Austin-Round Rock, TX",7.0,True,HighLine,Northwest Austin,256,890,0.10133333333333334,0.0,145.5,3.0,Expansion,Winter,5.545177444479562,3,2,1,0,-9.347127,2.259255
70346,"Austin-Round Rock, TX",,False,Hollybrook Ranch,Round Rock/Georgetown,336,1069,0.021666666666666664,-4.2485565207366537e-05,121.0,,COVID,Spring,5.817111159963204,0,3,1,0,3.4682167,-10.501144
10255580,"Austin-Round Rock, TX",5.0,True,Hunters Crossing Apartments,Southeast Austin,182,833,0.19600000000000004,0.0,17.0,4.0,Expansion,Spring,5.204006687076795,0,2,1,0,2.6023934,4.459275
37329,"Austin-Round Rock, TX",4.0,True,IMT at The Domain,North Central Austin,228,891,0.19999999999999998,0.0,613.0,1.0,Recovery,Summer,5.429345628954441,1,1,1,1,7.352304,0.46645185
44462,"Austin-Round Rock, TX",10.0,True,IMT Southpark North,Far South Austin,286,857,0.078,-0.004106073567151409,111.5,1.0,Recovery,Fall,5.655991810819852,2,1,1,0,-7.6681743,-8.132001
44464,"Austin-Round Rock, TX",17.0,True,IMT Southpark South,Far South Austin,283,859,0.049666666666666665,-0.0036536353671903533,90.0,2.0,Expansion,Winter,5.645446897643238,3,2,1,0,-11.211682,0.22220914
71149,"Austin-Round Rock, TX",9.0,True,Indie,East Austin,139,410,-0.13933333333333334,-0.004224418851305722,192.5,1.0,Expansion,Winter,4.9344739331306915,3,2,1,0,0.53096753,-13.679696
38377,"Austin-Round Rock, TX",11.0,True,Indigo,Cedar Park,325,908,0.10133333333333333,-0.002713704206241518,106.5,1.0,Recovery,Spring,5.783825182329737,0,1,1,0,7.8175087,2.3504472
44496,"Austin-Round Rock, TX",16.0,True,James on South First,Far South Austin,250,905,0.07866666666666666,0.002050781250000001,104.5,2.0,Expansion,Summer,5.521460917862246,1,2,1,0,-0.8549117,0.676521
44456,"Austin-Round Rock, TX",11.0,True,Kenzie at the Domain,North Central Austin,279,851,0.059666666666666666,0.0028696051423324183,653.0,1.0,Expansion,Winter,5.631211781821365,3,2,1,0,-11.728334,-2.901101
41412,"Austin-Round Rock, TX",6.0,True,La Frontera Square,Round Rock/Georgetown,412,846,0.02199999999999998,-0.02580645161290317,72.0,1.0,Recovery,Spring,6.021023349349527,0,1,1,0,9.013477,-11.009171
36480,"Austin-Round Rock, TX",9.0,True,Ladera,Far South Austin,311,876,0.06566666666666666,-0.005064599483204133,62.5,1.0,Recovery,Fall,5.739792912179234,2,1,1,0,-7.4350104,-8.313896
71736,"Austin-Round Rock, TX",14.0,True,Lakeline Crossing I,Cedar Park,301,863,0.08433333333333333,-0.004586028215893214,-89.0,4.0,Expansion,Summer,5.707110264748875,1,2,1,2,0.6540316,6.2720265
71738,"Austin-Round Rock, TX",,False,Lakeline Crossing II,Cedar Park,203,836,0.06149999999999997,0.00998868747811565,14.5,,COVID,Summer,5.313205979041787,1,3,1,0,0.08712628,-6.813771
38376,"Austin-Round Rock, TX",11.0,True,Lakeline East,Cedar Park,348,860,0.07666666666666667,0.0,115.5,1.0,Recovery,Fall,5.8522024797744745,2,1,1,0,-7.485734,-8.719126
